name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
GCF_005280955	Citrobacter werkmanii	67827	S	35	17	52	1.0
SG18_8_S1	Citrobacter freundii	546	S	15	2	17	0.44737
SG18_8_S1	Citrobacter werkmanii	67827	S	14	6	20	0.52632
GCF_005281325	Citrobacter sp. 172116965	2683822	S	17	18	35	0.49296
GCF_005281325	Citrobacter sp. RHBSTW-01044	2742678	S	8	7	15	0.21127
GCF_005281325	Citrobacter sp. RHB36-C18	2742627	S	6	5	11	0.15493
GCF_005281325	Citrobacter sp. RHBSTW-00881	2742667	S	5	3	8	0.11268
GCF_002073755	Citrobacter braakii	57706	S	1	0	1	1.0
GCF_000786275	Citrobacter sp. RHBSTW-01044	2742678	S	4	13	17	1.0
SD_5_A12	Citrobacter sp. RHBSTW-01044	2742678	S	54	26	80	0.25478
SD_5_A12	Citrobacter sp. 172116965	2683822	S	39	15	54	0.17197
SD_5_A12	Citrobacter sp. RHBSTW-00881	2742667	S	21	3	24	0.07643
SD_5_A12	Citrobacter sp. RHB35-C21	2742626	S	17	2	19	0.06051
SD_5_A12	Citrobacter sp. RHBSTW-00887	2742668	S	17	1	18	0.05732
SD_5_A12	Citrobacter sp. RHBSTW-00524	2742653	S	16	3	19	0.06051
SD_5_A12	Citrobacter sp. RHBSTW-00986	2742675	S	15	3	18	0.05732
SD_5_A12	Citrobacter sp. TSA-1	184912	S	14	2	16	0.05096
SD_5_A12	Citrobacter sp. RHBSTW-00599	2742657	S	14	2	16	0.05096
SD_5_A12	Citrobacter sp. RHB36-C18	2742627	S	9	2	11	0.03503
SD_5_A12	Citrobacter sp. RHBSTW-00570	2742655	S	6	3	9	0.02866
SD_5_A12	Citrobacter braakii	57706	S	25	0	25	0.07962
SD_5_A12	Citrobacter freundii	546	S	4	-4	0	0.0
GCF_003019835	Citrobacter freundii	546	S	1	0	1	1.0
GCF_002946635	Citrobacter freundii	546	S	1	0	1	1.0
GCF_005280915	Citrobacter sp. RHBSTW-01044	2742678	S	21	15	36	0.3913
GCF_005280915	Citrobacter sp. 172116965	2683822	S	16	13	29	0.31522
GCF_005280915	Citrobacter sp. RHB36-C18	2742627	S	6	3	9	0.09783
GCF_005280915	Citrobacter sp. RHBSTW-00524	2742653	S	5	2	7	0.07609
GCF_005280915	Citrobacter freundii	546	S	12	-3	9	0.09783
ERQ0212	Citrobacter freundii	546	S	86	67	153	1.0
DB_3_D1	Citrobacter freundii	546	S	302	221	523	0.75687
DB_3_D1	Klebsiella pneumoniae	573	S	17	7	24	0.03473
DB_3_D1	Escherichia coli	562	S	24	106	130	0.18813
DB_3_D1	Enterobacter hormaechei	158836	S	4	4	8	0.01158
DB_3_D1	Pseudomonas aeruginosa	287	S	4	0	4	0.00579
GCF_000786265	Citrobacter sp. RHBSTW-00599	2742657	S	16	30	46	0.71875
GCF_000786265	Citrobacter freundii	546	S	14	3	17	0.26562
DB_3_D2	Citrobacter freundii	546	S	101	63	164	0.50307
DB_3_D2	Klebsiella pneumoniae	573	S	10	4	14	0.04294
DB_3_D2	Escherichia coli	562	S	13	67	80	0.2454
DB_3_D2	Acinetobacter cumulans	2136182	S	40	12	52	0.15951
DB_3_D2	Acinetobacter baumannii	470	S	4	10	14	0.04294
GCF_003175795	Citrobacter freundii	546	S	77	19	96	1.0
ERQ0681	Citrobacter freundii	546	S	79	21	100	0.26525
ERQ0681	Citrobacter sp. RHBSTW-00986	2742675	S	75	87	162	0.42971
ERQ0681	Klebsiella pneumoniae	573	S	75	30	105	0.27851
ERQ0681	Enterobacter hormaechei	158836	S	4	3	7	0.01857
GCF_001022155	Citrobacter freundii	546	S	9	1	10	1.0
ERQ0161	Citrobacter freundii	546	S	25	31	56	1.0
GCF_002918555	Citrobacter sp. RHB25-C09	2742624	S	8	5	13	1.0
GCF_005281355	Citrobacter werkmanii	67827	S	61	19	80	0.84211
GCF_005281355	Citrobacter freundii	546	S	14	0	14	0.14737
GCF_002863945	Citrobacter youngae	133448	S	64	27	91	0.48925
GCF_002863945	Citrobacter freundii	546	S	29	-2	27	0.14516
GCF_002863945	Citrobacter sp. FDAARGOS_156	1702170	S	5	0	5	0.02688
GCF_002863945	Escherichia coli	562	S	17	20	37	0.19892
GCF_002863945	Klebsiella pneumoniae	573	S	6	9	15	0.08065
GCF_002863945	Klebsiella grimontii	2058152	S	4	5	9	0.04839
DB_3_F10	Citrobacter freundii	546	S	348	242	590	0.95315
DB_3_F10	Enterobacter asburiae	61645	S	7	4	11	0.01777
DB_3_F10	Klebsiella pneumoniae	573	S	4	-1	3	0.00485
DB_3_F10	Escherichia coli	562	S	4	0	4	0.00646
DB_3_F10	Salmonella enterica	28901	S	5	5	10	0.01616
GCF_005280875	Citrobacter sp. FDAARGOS_156	1702170	S	17	1	18	0.48649
GCF_005280875	Citrobacter youngae	133448	S	9	1	10	0.27027
GCF_005280875	Citrobacter pasteurii	1563222	S	7	0	7	0.18919
GCF_002919425	Citrobacter braakii	57706	S	4	17	21	0.7
GCF_002919425	Salmonella enterica	28901	S	7	1	8	0.26667
GCF_002796485	Citrobacter freundii	546	S	1	0	1	1.0
GCF_002185305	Citrobacter werkmanii	67827	S	31	7	38	1.0
GCF_002918855	Citrobacter freundii complex sp. CFNIH4	2077148	S	46	65	111	0.94872
GCF_002918855	Citrobacter freundii	546	S	25	-19	6	0.05128
ERQ0259	Citrobacter freundii	546	S	82	70	152	0.82162
ERQ0259	Klebsiella pneumoniae	573	S	11	5	16	0.08649
ERQ0259	Enterobacter hormaechei	158836	S	6	10	16	0.08649
GCF_002903305	Citrobacter freundii complex sp. CFNIH9	2077149	S	5	0	5	1.0
GCF_004322975	Klebsiella pneumoniae	573	S	1	-1	0	0.0
GCF_004322975	Raoultella planticola	575	S	1	-1	0	0.0
GCF_004322975	Citrobacter sp. ABFQG	2529121	S	1	0	1	0.33333
SD_9_B7	Citrobacter sp. RHBSTW-01044	2742678	S	12	20	32	1.0
GCF_000018045	Citrobacter koseri	545	S	2	0	2	0.66667
GCF_000018045	Klebsiella pneumoniae	573	S	1	-1	0	0.0
GCF_001276125	Citrobacter amalonaticus	35703	S	16	10	26	0.66667
GCF_001276125	Citrobacter sp. RHB35-C17	2742625	S	5	7	12	0.30769
SG18_227_S53	Citrobacter sp. FDAARGOS_156	1702170	S	14	12	26	0.7027
SG18_227_S53	Citrobacter youngae	133448	S	5	5	10	0.27027
GCF_003226155	Klebsiella pneumoniae	573	S	2	-2	0	0.0
GCF_003226155	Klebsiella sp. WP4-W18-ESBL-05	2675713	S	1	0	1	0.09091
GCF_003226155	Raoultella planticola	575	S	2	-1	1	0.09091
GCF_003226155	Enterobacter kobei	208224	S	1	-1	0	0.0
GCF_003226155	Escherichia coli	562	S	1	-1	0	0.0
GCF_003226155	Citrobacter koseri	545	S	1	6	7	0.63636
GCF_002864025	Citrobacter freundii	546	S	28	4	32	0.45714
GCF_002864025	Klebsiella pneumoniae	573	S	13	11	24	0.34286
GCF_002864025	Escherichia coli	562	S	8	4	12	0.17143
ERQ0572	Citrobacter sp. RHBSTW-00524	2742653	S	52	73	125	0.73964
ERQ0572	Citrobacter freundii	546	S	14	12	26	0.15385
ERQ0572	Klebsiella grimontii	2058152	S	4	12	16	0.09467
ERQ0152	Citrobacter freundii	546	S	118	153	271	0.93448
ERQ0152	Enterobacter cloacae	550	S	7	6	13	0.04483
ERQ0152	Salmonella enterica	28901	S	4	1	5	0.01724
GCF_000764735	Citrobacter farmeri	67824	S	27	4	31	1.0
GCF_003665595	Citrobacter freundii	546	S	1	0	1	1.0
ERQ0172	Citrobacter freundii	546	S	38	26	64	0.512
ERQ0172	Citrobacter portucalensis	1639133	S	6	12	18	0.144
ERQ0172	Klebsiella pneumoniae	573	S	4	1	5	0.04
ERQ0172	Salmonella enterica	28901	S	4	27	31	0.248
ERQ0172	Pseudomonas aeruginosa	287	S	4	0	4	0.032
GCF_001718055	Citrobacter freundii	546	S	3	0	3	1.0
ERQ0674	Citrobacter sp. RHBSTW-01044	2742678	S	52	50	102	0.52577
ERQ0674	Citrobacter freundii	546	S	10	-2	8	0.04124
